,o_id,o_customer_id,o_order_number,o_currency,o_subtotal,o_tax,o_shipping,o_total,o_shipping_carrier,o_shipping_method,o_payment_status,o_payment_date,o_payment_type,o_payment_amount,o_payment_id,o_payment_code,o_status,o_placed_date,o_updated_date,o_shipped_date,o_customer_type
0,3758,797,3758,USD,57.2,0.0,9.95,64.29,fedex,11Ground,3.0,1426019099,authorize.net,64.29,6993607863.0,510142.0,1,1426019099,1438868410,1426100922,0.0
1,23,3,23,USD,20.0,4.859279839268475,9.99,29.99,fedex,11Ground,3.0,1386090455,authorize.net,29.99,0.0,0.0,1,1386090455,1440528583,1386102621,0.0
2,9531,3,9531,USD,68.78,0.0,9.95,78.73,manual,0Standard Shipping,3.0,1449603652,authorize.net,78.73,0.0,0.0,3,1449603652,1450213487,1442166991,0.0
3,29,4,29,USD,19.56,0.0,9.95,29.55,fedex,11Ground,3.0,1386780263,authorize.net,29.55,3285178019195.542,132578.05607205114,1,1386780263,1440528583,1386800132,0.0
4,30,5,30,USD,36.05,4.859279839268475,9.95,46.0,fedex,11Ground,3.0,1386861599,authorize.net,46.0,3285178019195.542,132578.05607205114,1,1386861599,1440528583,1386875623,0.0
5,226,5,226,USD,44.46,4.859279839268475,9.95,54.41,fedex,11Ground,0.0,1443103868,authorize.net,134.8422629310345,3285178019195.542,132578.05607205114,1,1394380527,1438868410,1394482209,0.0
6,1658,5,1658,USD,14.63,4.859279839268475,9.95,24.58,fedex,11Ground,3.0,1410363655,Credit Card,24.58,3285178019195.542,132578.05607205114,1,1410363655,1438868410,1410382299,0.0
7,32,7,32,USD,39.19,0.0,9.95,49.14,fedex,11Ground,3.0,1388155947,authorize.net,49.14,3285178019195.542,132578.05607205114,1,1388155947,1440528583,1388178814,0.0
8,40,8,40,USD,59.75,0.0,9.95,69.7,manual,0Standard Shipping,3.0,1389647443,Credit Card,69.7,3285178019195.542,132578.05607205114,1,1389303216,1440528583,1389626735,0.0
9,70,10,70,USD,34.0,0.0,9.95,34.0,manual,0Standard Shipping,3.0,1390509774,Credit Card,34.0,3285178019195.542,132578.05607205114,1,1390509516,1440528583,1391709001,0.0
